vac,verb,item,grain,age_months,cumulative_share,bin_tokens,n_tokens
VL,come,VL|come,schematic,18,0.01072961373390558,5,466
VL,come,VL|come,schematic,21,0.04291845493562232,15,466
VL,come,VL|come,schematic,24,0.1223175965665236,37,466
VL,come,VL|come,schematic,27,0.16952789699570817,22,466
VL,come,VL|come,schematic,30,0.2854077253218884,54,466
VL,come,VL|come,schematic,33,0.3648068669527897,37,466
VL,come,VL|come,schematic,36,0.4206008583690987,26,466
VL,come,VL|come,schematic,39,0.5536480686695279,62,466
VL,come,VL|come,schematic,42,0.648068669527897,44,466
VL,come,VL|come,schematic,45,0.7381974248927039,42,466
VL,come,VL|come,schematic,48,0.8240343347639485,40,466
VL,come,VL|come,schematic,51,0.8905579399141631,31,466
VL,come,VL|come,schematic,54,0.9120171673819742,10,466
VL,come,VL|come,schematic,57,0.9742489270386266,29,466
VL,come,VL|come,schematic,60,1.0,12,466
VL,come,VL|come,schematic,63,1.0,0,466
VL,come,VL|come,schematic,66,1.0,0,466
VL,come,VL|come,schematic,69,1.0,0,466
VL,fall,VL|fall,schematic,18,0.003076923076923077,1,325
VL,fall,VL|fall,schematic,21,0.06153846153846154,19,325
VL,fall,VL|fall,schematic,24,0.10153846153846154,13,325
VL,fall,VL|fall,schematic,27,0.18769230769230769,28,325
VL,fall,VL|fall,schematic,30,0.3046153846153846,38,325
VL,fall,VL|fall,schematic,33,0.3507692307692308,15,325
VL,fall,VL|fall,schematic,36,0.47384615384615386,40,325
VL,fall,VL|fall,schematic,39,0.5846153846153846,36,325
VL,fall,VL|fall,schematic,42,0.6676923076923077,27,325
VL,fall,VL|fall,schematic,45,0.7876923076923077,39,325
VL,fall,VL|fall,schematic,48,0.8492307692307692,20,325
VL,fall,VL|fall,schematic,51,0.8861538461538462,12,325
VL,fall,VL|fall,schematic,54,0.9076923076923077,7,325
VL,fall,VL|fall,schematic,57,0.9692307692307692,20,325
VL,fall,VL|fall,schematic,60,1.0,10,325
VL,fall,VL|fall,schematic,63,1.0,0,325
VL,fall,VL|fall,schematic,66,1.0,0,325
VL,fall,VL|fall,schematic,69,1.0,0,325
VL,go,VL|go,schematic,18,0.004269854824935952,5,1171
VL,go,VL|go,schematic,21,0.03159692570452605,32,1171
VL,go,VL|go,schematic,24,0.09735269000853972,77,1171
VL,go,VL|go,schematic,27,0.14602903501280956,57,1171
VL,go,VL|go,schematic,30,0.23740392826643894,107,1171
VL,go,VL|go,schematic,33,0.30572160546541416,80,1171
VL,go,VL|go,schematic,36,0.4022203245089667,113,1171
VL,go,VL|go,schematic,39,0.5328778821520068,153,1171
VL,go,VL|go,schematic,42,0.6293766011955594,113,1171
VL,go,VL|go,schematic,45,0.7062339880444065,90,1171
VL,go,VL|go,schematic,48,0.798462852263023,108,1171
VL,go,VL|go,schematic,51,0.8812980358667806,97,1171
VL,go,VL|go,schematic,54,0.9205807002561913,46,1171
VL,go,VL|go,schematic,57,0.982066609735269,72,1171
VL,go,VL|go,schematic,60,1.0,21,1171
VL,go,VL|go,schematic,63,1.0,0,1171
VL,go,VL|go,schematic,66,1.0,0,1171
VL,go,VL|go,schematic,69,1.0,0,1171
VL,jump,VL|jump,schematic,18,0.03260869565217391,3,92
VL,jump,VL|jump,schematic,21,0.11956521739130435,8,92
VL,jump,VL|jump,schematic,24,0.18478260869565216,6,92
VL,jump,VL|jump,schematic,27,0.22826086956521738,4,92
VL,jump,VL|jump,schematic,30,0.34782608695652173,11,92
VL,jump,VL|jump,schematic,33,0.391304347826087,4,92
VL,jump,VL|jump,schematic,36,0.5108695652173914,11,92
VL,jump,VL|jump,schematic,39,0.5978260869565217,8,92
VL,jump,VL|jump,schematic,42,0.6521739130434783,5,92
VL,jump,VL|jump,schematic,45,0.7934782608695652,13,92
VL,jump,VL|jump,schematic,48,0.8695652173913043,7,92
VL,jump,VL|jump,schematic,51,0.9239130434782609,5,92
VL,jump,VL|jump,schematic,54,0.9565217391304348,3,92
VL,jump,VL|jump,schematic,57,0.9782608695652174,2,92
VL,jump,VL|jump,schematic,60,1.0,2,92
VL,jump,VL|jump,schematic,63,1.0,0,92
VL,jump,VL|jump,schematic,66,1.0,0,92
VL,jump,VL|jump,schematic,69,1.0,0,92
VL,knock,VL|knock,schematic,18,0.0,0,15
VL,knock,VL|knock,schematic,21,0.0,0,15
VL,knock,VL|knock,schematic,24,0.0,0,15
VL,knock,VL|knock,schematic,27,0.13333333333333333,2,15
VL,knock,VL|knock,schematic,30,0.26666666666666666,2,15
VL,knock,VL|knock,schematic,33,0.4666666666666667,3,15
VL,knock,VL|knock,schematic,36,0.8,5,15
VL,knock,VL|knock,schematic,39,0.9333333333333333,2,15
VL,knock,VL|knock,schematic,42,0.9333333333333333,0,15
VL,knock,VL|knock,schematic,45,0.9333333333333333,0,15
VL,knock,VL|knock,schematic,48,0.9333333333333333,0,15
VL,knock,VL|knock,schematic,51,1.0,1,15
VL,knock,VL|knock,schematic,54,1.0,0,15
VL,knock,VL|knock,schematic,57,1.0,0,15
VL,knock,VL|knock,schematic,60,1.0,0,15
VL,knock,VL|knock,schematic,63,1.0,0,15
VL,knock,VL|knock,schematic,66,1.0,0,15
VL,knock,VL|knock,schematic,69,1.0,0,15
VL,sit,VL|sit,schematic,18,0.020905923344947737,6,287
VL,sit,VL|sit,schematic,21,0.11149825783972125,26,287
VL,sit,VL|sit,schematic,24,0.20209059233449478,26,287
VL,sit,VL|sit,schematic,27,0.30662020905923343,30,287
VL,sit,VL|sit,schematic,30,0.3797909407665505,21,287
VL,sit,VL|sit,schematic,33,0.4912891986062718,32,287
VL,sit,VL|sit,schematic,36,0.6480836236933798,45,287
VL,sit,VL|sit,schematic,39,0.7456445993031359,28,287
VL,sit,VL|sit,schematic,42,0.8048780487804879,17,287
VL,sit,VL|sit,schematic,45,0.8362369337979094,9,287
VL,sit,VL|sit,schematic,48,0.8989547038327527,18,287
VL,sit,VL|sit,schematic,51,0.926829268292683,8,287
VL,sit,VL|sit,schematic,54,0.9512195121951219,7,287
VL,sit,VL|sit,schematic,57,0.9860627177700348,10,287
VL,sit,VL|sit,schematic,60,1.0,4,287
VL,sit,VL|sit,schematic,63,1.0,0,287
VL,sit,VL|sit,schematic,66,1.0,0,287
VL,sit,VL|sit,schematic,69,1.0,0,287
VL,want,VL|want,schematic,18,0.1,2,20
VL,want,VL|want,schematic,21,0.1,0,20
VL,want,VL|want,schematic,24,0.15,1,20
VL,want,VL|want,schematic,27,0.35,4,20
VL,want,VL|want,schematic,30,0.55,4,20
VL,want,VL|want,schematic,33,0.65,2,20
VL,want,VL|want,schematic,36,0.8,3,20
VL,want,VL|want,schematic,39,0.85,1,20
VL,want,VL|want,schematic,42,0.9,1,20
VL,want,VL|want,schematic,45,0.95,1,20
VL,want,VL|want,schematic,48,0.95,0,20
VL,want,VL|want,schematic,51,0.95,0,20
VL,want,VL|want,schematic,54,0.95,0,20
VL,want,VL|want,schematic,57,1.0,1,20
VL,want,VL|want,schematic,60,1.0,0,20
VL,want,VL|want,schematic,63,1.0,0,20
VL,want,VL|want,schematic,66,1.0,0,20
VL,want,VL|want,schematic,69,1.0,0,20
VL,write,VL|write,schematic,18,0.0,0,65
VL,write,VL|write,schematic,21,0.09230769230769231,6,65
VL,write,VL|write,schematic,24,0.27692307692307694,12,65
VL,write,VL|write,schematic,27,0.3076923076923077,2,65
VL,write,VL|write,schematic,30,0.4,6,65
VL,write,VL|write,schematic,33,0.47692307692307695,5,65
VL,write,VL|write,schematic,36,0.6153846153846154,9,65
VL,write,VL|write,schematic,39,0.6923076923076923,5,65
VL,write,VL|write,schematic,42,0.7538461538461538,4,65
VL,write,VL|write,schematic,45,0.7692307692307693,1,65
VL,write,VL|write,schematic,48,0.7846153846153846,1,65
VL,write,VL|write,schematic,51,0.8769230769230769,6,65
VL,write,VL|write,schematic,54,0.9230769230769231,3,65
VL,write,VL|write,schematic,57,0.9538461538461539,2,65
VL,write,VL|write,schematic,60,1.0,3,65
VL,write,VL|write,schematic,63,1.0,0,65
VL,write,VL|write,schematic,66,1.0,0,65
VL,write,VL|write,schematic,69,1.0,0,65
VL-about,know,VL-about|know,prep,18,0.0,0,8
VL-about,know,VL-about|know,prep,21,0.0,0,8
VL-about,know,VL-about|know,prep,24,0.0,0,8
VL-about,know,VL-about|know,prep,27,0.0,0,8
VL-about,know,VL-about|know,prep,30,0.0,0,8
VL-about,know,VL-about|know,prep,33,0.0,0,8
VL-about,know,VL-about|know,prep,36,0.0,0,8
VL-about,know,VL-about|know,prep,39,0.0,0,8
VL-about,know,VL-about|know,prep,42,0.375,3,8
VL-about,know,VL-about|know,prep,45,0.375,0,8
VL-about,know,VL-about|know,prep,48,0.625,2,8
VL-about,know,VL-about|know,prep,51,0.75,1,8
VL-about,know,VL-about|know,prep,54,0.75,0,8
VL-about,know,VL-about|know,prep,57,0.75,0,8
VL-about,know,VL-about|know,prep,60,1.0,2,8
VL-about,know,VL-about|know,prep,63,1.0,0,8
VL-about,know,VL-about|know,prep,66,1.0,0,8
VL-about,know,VL-about|know,prep,69,1.0,0,8
VL-about,tell,VL-about|tell,prep,18,0.0,0,9
VL-about,tell,VL-about|tell,prep,21,0.0,0,9
VL-about,tell,VL-about|tell,prep,24,0.0,0,9
VL-about,tell,VL-about|tell,prep,27,0.0,0,9
VL-about,tell,VL-about|tell,prep,30,0.0,0,9
VL-about,tell,VL-about|tell,prep,33,0.2222222222222222,2,9
VL-about,tell,VL-about|tell,prep,36,0.3333333333333333,1,9
VL-about,tell,VL-about|tell,prep,39,0.5555555555555556,2,9
VL-about,tell,VL-about|tell,prep,42,0.8888888888888888,3,9
VL-about,tell,VL-about|tell,prep,45,0.8888888888888888,0,9
VL-about,tell,VL-about|tell,prep,48,0.8888888888888888,0,9
VL-about,tell,VL-about|tell,prep,51,1.0,1,9
VL-about,tell,VL-about|tell,prep,54,1.0,0,9
VL-about,tell,VL-about|tell,prep,57,1.0,0,9
VL-about,tell,VL-about|tell,prep,60,1.0,0,9
VL-about,tell,VL-about|tell,prep,63,1.0,0,9
VL-about,tell,VL-about|tell,prep,66,1.0,0,9
VL-about,tell,VL-about|tell,prep,69,1.0,0,9
VL-across,fall,VL-across|fall,prep,18,0.0,0,1
VL-across,fall,VL-across|fall,prep,21,0.0,0,1
VL-across,fall,VL-across|fall,prep,24,0.0,0,1
VL-across,fall,VL-across|fall,prep,27,0.0,0,1
VL-across,fall,VL-across|fall,prep,30,0.0,0,1
VL-across,fall,VL-across|fall,prep,33,0.0,0,1
VL-across,fall,VL-across|fall,prep,36,0.0,0,1
VL-across,fall,VL-across|fall,prep,39,0.0,0,1
VL-across,fall,VL-across|fall,prep,42,1.0,1,1
VL-across,fall,VL-across|fall,prep,45,1.0,0,1
VL-across,fall,VL-across|fall,prep,48,1.0,0,1
VL-across,fall,VL-across|fall,prep,51,1.0,0,1
VL-across,fall,VL-across|fall,prep,54,1.0,0,1
VL-across,fall,VL-across|fall,prep,57,1.0,0,1
VL-across,fall,VL-across|fall,prep,60,1.0,0,1
VL-across,fall,VL-across|fall,prep,63,1.0,0,1
VL-across,fall,VL-across|fall,prep,66,1.0,0,1
VL-across,fall,VL-across|fall,prep,69,1.0,0,1
VL-across,go,VL-across|go,prep,18,0.0,0,2
VL-across,go,VL-across|go,prep,21,0.0,0,2
VL-across,go,VL-across|go,prep,24,0.0,0,2
VL-across,go,VL-across|go,prep,27,0.0,0,2
VL-across,go,VL-across|go,prep,30,0.5,1,2
VL-across,go,VL-across|go,prep,33,1.0,1,2
VL-across,go,VL-across|go,prep,36,1.0,0,2
VL-across,go,VL-across|go,prep,39,1.0,0,2
VL-across,go,VL-across|go,prep,42,1.0,0,2
VL-across,go,VL-across|go,prep,45,1.0,0,2
VL-across,go,VL-across|go,prep,48,1.0,0,2
VL-across,go,VL-across|go,prep,51,1.0,0,2
VL-across,go,VL-across|go,prep,54,1.0,0,2
VL-across,go,VL-across|go,prep,57,1.0,0,2
VL-across,go,VL-across|go,prep,60,1.0,0,2
VL-across,go,VL-across|go,prep,63,1.0,0,2
VL-across,go,VL-across|go,prep,66,1.0,0,2
VL-across,go,VL-across|go,prep,69,1.0,0,2
VL-across,live,VL-across|live,prep,18,0.0,0,1
VL-across,live,VL-across|live,prep,21,0.0,0,1
VL-across,live,VL-across|live,prep,24,0.0,0,1
VL-across,live,VL-across|live,prep,27,0.0,0,1
VL-across,live,VL-across|live,prep,30,0.0,0,1
VL-across,live,VL-across|live,prep,33,0.0,0,1
VL-across,live,VL-across|live,prep,36,0.0,0,1
VL-across,live,VL-across|live,prep,39,0.0,0,1
VL-across,live,VL-across|live,prep,42,0.0,0,1
VL-across,live,VL-across|live,prep,45,0.0,0,1
VL-across,live,VL-across|live,prep,48,0.0,0,1
VL-across,live,VL-across|live,prep,51,0.0,0,1
VL-across,live,VL-across|live,prep,54,0.0,0,1
VL-across,live,VL-across|live,prep,57,1.0,1,1
VL-across,live,VL-across|live,prep,60,1.0,0,1
VL-across,live,VL-across|live,prep,63,1.0,0,1
VL-across,live,VL-across|live,prep,66,1.0,0,1
VL-across,live,VL-across|live,prep,69,1.0,0,1
VL-across,run,VL-across|run,prep,18,0.0,0,1
VL-across,run,VL-across|run,prep,21,0.0,0,1
VL-across,run,VL-across|run,prep,24,0.0,0,1
VL-across,run,VL-across|run,prep,27,0.0,0,1
VL-across,run,VL-across|run,prep,30,0.0,0,1
VL-across,run,VL-across|run,prep,33,0.0,0,1
VL-across,run,VL-across|run,prep,36,0.0,0,1
VL-across,run,VL-across|run,prep,39,0.0,0,1
VL-across,run,VL-across|run,prep,42,0.0,0,1
VL-across,run,VL-across|run,prep,45,1.0,1,1
VL-across,run,VL-across|run,prep,48,1.0,0,1
VL-across,run,VL-across|run,prep,51,1.0,0,1
VL-across,run,VL-across|run,prep,54,1.0,0,1
VL-across,run,VL-across|run,prep,57,1.0,0,1
VL-across,run,VL-across|run,prep,60,1.0,0,1
VL-across,run,VL-across|run,prep,63,1.0,0,1
VL-across,run,VL-across|run,prep,66,1.0,0,1
VL-across,run,VL-across|run,prep,69,1.0,0,1
VL-across,walk,VL-across|walk,prep,18,0.0,0,2
VL-across,walk,VL-across|walk,prep,21,0.0,0,2
VL-across,walk,VL-across|walk,prep,24,0.5,1,2
VL-across,walk,VL-across|walk,prep,27,0.5,0,2
VL-across,walk,VL-across|walk,prep,30,0.5,0,2
VL-across,walk,VL-across|walk,prep,33,0.5,0,2
VL-across,walk,VL-across|walk,prep,36,0.5,0,2
VL-across,walk,VL-across|walk,prep,39,1.0,1,2
VL-across,walk,VL-across|walk,prep,42,1.0,0,2
VL-across,walk,VL-across|walk,prep,45,1.0,0,2
VL-across,walk,VL-across|walk,prep,48,1.0,0,2
VL-across,walk,VL-across|walk,prep,51,1.0,0,2
VL-across,walk,VL-across|walk,prep,54,1.0,0,2
VL-across,walk,VL-across|walk,prep,57,1.0,0,2
VL-across,walk,VL-across|walk,prep,60,1.0,0,2
VL-across,walk,VL-across|walk,prep,63,1.0,0,2
VL-across,walk,VL-across|walk,prep,66,1.0,0,2
VL-across,walk,VL-across|walk,prep,69,1.0,0,2
VL-along,cut,VL-along|cut,prep,18,0.0,0,1
VL-along,cut,VL-along|cut,prep,21,0.0,0,1
VL-along,cut,VL-along|cut,prep,24,0.0,0,1
VL-along,cut,VL-along|cut,prep,27,0.0,0,1
VL-along,cut,VL-along|cut,prep,30,0.0,0,1
VL-along,cut,VL-along|cut,prep,33,0.0,0,1
VL-along,cut,VL-along|cut,prep,36,0.0,0,1
VL-along,cut,VL-along|cut,prep,39,0.0,0,1
VL-along,cut,VL-along|cut,prep,42,0.0,0,1
VL-along,cut,VL-along|cut,prep,45,0.0,0,1
VL-along,cut,VL-along|cut,prep,48,0.0,0,1
VL-along,cut,VL-along|cut,prep,51,0.0,0,1
VL-along,cut,VL-along|cut,prep,54,0.0,0,1
VL-along,cut,VL-along|cut,prep,57,1.0,1,1
VL-along,cut,VL-along|cut,prep,60,1.0,0,1
VL-along,cut,VL-along|cut,prep,63,1.0,0,1
VL-along,cut,VL-along|cut,prep,66,1.0,0,1
VL-along,cut,VL-along|cut,prep,69,1.0,0,1
VL-around,dance,VL-around|dance,prep,18,0.0,0,1
VL-around,dance,VL-around|dance,prep,21,0.0,0,1
VL-around,dance,VL-around|dance,prep,24,0.0,0,1
VL-around,dance,VL-around|dance,prep,27,0.0,0,1
VL-around,dance,VL-around|dance,prep,30,0.0,0,1
VL-around,dance,VL-around|dance,prep,33,0.0,0,1
VL-around,dance,VL-around|dance,prep,36,0.0,0,1
VL-around,dance,VL-around|dance,prep,39,0.0,0,1
VL-around,dance,VL-around|dance,prep,42,1.0,1,1
VL-around,dance,VL-around|dance,prep,45,1.0,0,1
VL-around,dance,VL-around|dance,prep,48,1.0,0,1
VL-around,dance,VL-around|dance,prep,51,1.0,0,1
VL-around,dance,VL-around|dance,prep,54,1.0,0,1
VL-around,dance,VL-around|dance,prep,57,1.0,0,1
VL-around,dance,VL-around|dance,prep,60,1.0,0,1
VL-around,dance,VL-around|dance,prep,63,1.0,0,1
VL-around,dance,VL-around|dance,prep,66,1.0,0,1
VL-around,dance,VL-around|dance,prep,69,1.0,0,1
VL-around,get,VL-around|get,prep,18,0.0,0,2
VL-around,get,VL-around|get,prep,21,0.0,0,2
VL-around,get,VL-around|get,prep,24,0.0,0,2
VL-around,get,VL-around|get,prep,27,0.0,0,2
VL-around,get,VL-around|get,prep,30,0.0,0,2
VL-around,get,VL-around|get,prep,33,0.0,0,2
VL-around,get,VL-around|get,prep,36,0.5,1,2
VL-around,get,VL-around|get,prep,39,0.5,0,2
VL-around,get,VL-around|get,prep,42,0.5,0,2
VL-around,get,VL-around|get,prep,45,0.5,0,2
VL-around,get,VL-around|get,prep,48,0.5,0,2
VL-around,get,VL-around|get,prep,51,0.5,0,2
VL-around,get,VL-around|get,prep,54,1.0,1,2
VL-around,get,VL-around|get,prep,57,1.0,0,2
VL-around,get,VL-around|get,prep,60,1.0,0,2
VL-around,get,VL-around|get,prep,63,1.0,0,2
VL-around,get,VL-around|get,prep,66,1.0,0,2
VL-around,get,VL-around|get,prep,69,1.0,0,2
VL-around,go,VL-around|go,prep,18,0.0,0,8
VL-around,go,VL-around|go,prep,21,0.0,0,8
VL-around,go,VL-around|go,prep,24,0.125,1,8
VL-around,go,VL-around|go,prep,27,0.125,0,8
VL-around,go,VL-around|go,prep,30,0.125,0,8
VL-around,go,VL-around|go,prep,33,0.125,0,8
VL-around,go,VL-around|go,prep,36,0.375,2,8
VL-around,go,VL-around|go,prep,39,0.375,0,8
VL-around,go,VL-around|go,prep,42,0.375,0,8
VL-around,go,VL-around|go,prep,45,0.5,1,8
VL-around,go,VL-around|go,prep,48,0.75,2,8
VL-around,go,VL-around|go,prep,51,0.75,0,8
VL-around,go,VL-around|go,prep,54,1.0,2,8
VL-around,go,VL-around|go,prep,57,1.0,0,8
VL-around,go,VL-around|go,prep,60,1.0,0,8
VL-around,go,VL-around|go,prep,63,1.0,0,8
VL-around,go,VL-around|go,prep,66,1.0,0,8
VL-around,go,VL-around|go,prep,69,1.0,0,8
VL-around,put,VL-around|put,prep,18,0.0,0,2
VL-around,put,VL-around|put,prep,21,0.0,0,2
VL-around,put,VL-around|put,prep,24,0.0,0,2
VL-around,put,VL-around|put,prep,27,0.0,0,2
VL-around,put,VL-around|put,prep,30,0.0,0,2
VL-around,put,VL-around|put,prep,33,0.5,1,2
VL-around,put,VL-around|put,prep,36,1.0,1,2
VL-around,put,VL-around|put,prep,39,1.0,0,2
VL-around,put,VL-around|put,prep,42,1.0,0,2
VL-around,put,VL-around|put,prep,45,1.0,0,2
VL-around,put,VL-around|put,prep,48,1.0,0,2
VL-around,put,VL-around|put,prep,51,1.0,0,2
VL-around,put,VL-around|put,prep,54,1.0,0,2
VL-around,put,VL-around|put,prep,57,1.0,0,2
VL-around,put,VL-around|put,prep,60,1.0,0,2
VL-around,put,VL-around|put,prep,63,1.0,0,2
VL-around,put,VL-around|put,prep,66,1.0,0,2
VL-around,put,VL-around|put,prep,69,1.0,0,2
VL-around,roll,VL-around|roll,prep,18,0.0,0,1
VL-around,roll,VL-around|roll,prep,21,0.0,0,1
VL-around,roll,VL-around|roll,prep,24,0.0,0,1
VL-around,roll,VL-around|roll,prep,27,0.0,0,1
VL-around,roll,VL-around|roll,prep,30,0.0,0,1
VL-around,roll,VL-around|roll,prep,33,0.0,0,1
VL-around,roll,VL-around|roll,prep,36,0.0,0,1
VL-around,roll,VL-around|roll,prep,39,1.0,1,1
VL-around,roll,VL-around|roll,prep,42,1.0,0,1
VL-around,roll,VL-around|roll,prep,45,1.0,0,1
VL-around,roll,VL-around|roll,prep,48,1.0,0,1
VL-around,roll,VL-around|roll,prep,51,1.0,0,1
VL-around,roll,VL-around|roll,prep,54,1.0,0,1
VL-around,roll,VL-around|roll,prep,57,1.0,0,1
VL-around,roll,VL-around|roll,prep,60,1.0,0,1
VL-around,roll,VL-around|roll,prep,63,1.0,0,1
VL-around,roll,VL-around|roll,prep,66,1.0,0,1
VL-around,roll,VL-around|roll,prep,69,1.0,0,1
VL-around,run,VL-around|run,prep,18,0.0,0,1
VL-around,run,VL-around|run,prep,21,0.0,0,1
VL-around,run,VL-around|run,prep,24,0.0,0,1
VL-around,run,VL-around|run,prep,27,0.0,0,1
VL-around,run,VL-around|run,prep,30,0.0,0,1
VL-around,run,VL-around|run,prep,33,0.0,0,1
VL-around,run,VL-around|run,prep,36,0.0,0,1
VL-around,run,VL-around|run,prep,39,0.0,0,1
VL-around,run,VL-around|run,prep,42,0.0,0,1
VL-around,run,VL-around|run,prep,45,0.0,0,1
VL-around,run,VL-around|run,prep,48,0.0,0,1
VL-around,run,VL-around|run,prep,51,0.0,0,1
VL-around,run,VL-around|run,prep,54,0.0,0,1
VL-around,run,VL-around|run,prep,57,0.0,0,1
VL-around,run,VL-around|run,prep,60,1.0,1,1
VL-around,run,VL-around|run,prep,63,1.0,0,1
VL-around,run,VL-around|run,prep,66,1.0,0,1
VL-around,run,VL-around|run,prep,69,1.0,0,1
VL-around,spray,VL-around|spray,prep,18,0.0,0,1
VL-around,spray,VL-around|spray,prep,21,0.0,0,1
VL-around,spray,VL-around|spray,prep,24,0.0,0,1
VL-around,spray,VL-around|spray,prep,27,0.0,0,1
VL-around,spray,VL-around|spray,prep,30,0.0,0,1
VL-around,spray,VL-around|spray,prep,33,0.0,0,1
VL-around,spray,VL-around|spray,prep,36,0.0,0,1
VL-around,spray,VL-around|spray,prep,39,0.0,0,1
VL-around,spray,VL-around|spray,prep,42,0.0,0,1
VL-around,spray,VL-around|spray,prep,45,0.0,0,1
VL-around,spray,VL-around|spray,prep,48,0.0,0,1
VL-around,spray,VL-around|spray,prep,51,0.0,0,1
VL-around,spray,VL-around|spray,prep,54,1.0,1,1
VL-around,spray,VL-around|spray,prep,57,1.0,0,1
VL-around,spray,VL-around|spray,prep,60,1.0,0,1
VL-around,spray,VL-around|spray,prep,63,1.0,0,1
VL-around,spray,VL-around|spray,prep,66,1.0,0,1
VL-around,spray,VL-around|spray,prep,69,1.0,0,1
VL-around,turn,VL-around|turn,prep,18,0.0,0,4
VL-around,turn,VL-around|turn,prep,21,0.0,0,4
VL-around,turn,VL-around|turn,prep,24,0.0,0,4
VL-around,turn,VL-around|turn,prep,27,0.0,0,4
VL-around,turn,VL-around|turn,prep,30,0.0,0,4
VL-around,turn,VL-around|turn,prep,33,0.0,0,4
VL-around,turn,VL-around|turn,prep,36,0.0,0,4
VL-around,turn,VL-around|turn,prep,39,0.0,0,4
VL-around,turn,VL-around|turn,prep,42,0.5,2,4
VL-around,turn,VL-around|turn,prep,45,0.5,0,4
VL-around,turn,VL-around|turn,prep,48,0.5,0,4
VL-around,turn,VL-around|turn,prep,51,0.75,1,4
VL-around,turn,VL-around|turn,prep,54,0.75,0,4
VL-around,turn,VL-around|turn,prep,57,1.0,1,4
VL-around,turn,VL-around|turn,prep,60,1.0,0,4
VL-around,turn,VL-around|turn,prep,63,1.0,0,4
VL-around,turn,VL-around|turn,prep,66,1.0,0,4
VL-around,turn,VL-around|turn,prep,69,1.0,0,4
VL-at,go,VL-at|go,prep,18,0.0,0,11
VL-at,go,VL-at|go,prep,21,0.0,0,11
VL-at,go,VL-at|go,prep,24,0.0,0,11
VL-at,go,VL-at|go,prep,27,0.09090909090909091,1,11
VL-at,go,VL-at|go,prep,30,0.09090909090909091,0,11
VL-at,go,VL-at|go,prep,33,0.09090909090909091,0,11
VL-at,go,VL-at|go,prep,36,0.09090909090909091,0,11
VL-at,go,VL-at|go,prep,39,0.5454545454545454,5,11
VL-at,go,VL-at|go,prep,42,0.6363636363636364,1,11
VL-at,go,VL-at|go,prep,45,0.6363636363636364,0,11
VL-at,go,VL-at|go,prep,48,0.7272727272727273,1,11
VL-at,go,VL-at|go,prep,51,0.9090909090909091,2,11
VL-at,go,VL-at|go,prep,54,1.0,1,11
VL-at,go,VL-at|go,prep,57,1.0,0,11
VL-at,go,VL-at|go,prep,60,1.0,0,11
VL-at,go,VL-at|go,prep,63,1.0,0,11
VL-at,go,VL-at|go,prep,66,1.0,0,11
VL-at,go,VL-at|go,prep,69,1.0,0,11
VL-at,look,VL-at|look,prep,18,0.006578947368421052,3,456
VL-at,look,VL-at|look,prep,21,0.02631578947368421,9,456
VL-at,look,VL-at|look,prep,24,0.05482456140350877,13,456
VL-at,look,VL-at|look,prep,27,0.07894736842105263,11,456
VL-at,look,VL-at|look,prep,30,0.17763157894736842,45,456
VL-at,look,VL-at|look,prep,33,0.2565789473684211,36,456
VL-at,look,VL-at|look,prep,36,0.40350877192982454,67,456
VL-at,look,VL-at|look,prep,39,0.5394736842105263,62,456
VL-at,look,VL-at|look,prep,42,0.6381578947368421,45,456
VL-at,look,VL-at|look,prep,45,0.6995614035087719,28,456
VL-at,look,VL-at|look,prep,48,0.75,23,456
VL-at,look,VL-at|look,prep,51,0.8201754385964912,32,456
VL-at,look,VL-at|look,prep,54,0.8662280701754386,21,456
VL-at,look,VL-at|look,prep,57,0.9517543859649122,39,456
VL-at,look,VL-at|look,prep,60,1.0,22,456
VL-at,look,VL-at|look,prep,63,1.0,0,456
VL-at,look,VL-at|look,prep,66,1.0,0,456
VL-at,look,VL-at|look,prep,69,1.0,0,456
VL-behind,get,VL-behind|get,prep,18,0.0,0,1
VL-behind,get,VL-behind|get,prep,21,0.0,0,1
VL-behind,get,VL-behind|get,prep,24,0.0,0,1
VL-behind,get,VL-behind|get,prep,27,0.0,0,1
VL-behind,get,VL-behind|get,prep,30,0.0,0,1
VL-behind,get,VL-behind|get,prep,33,0.0,0,1
VL-behind,get,VL-behind|get,prep,36,0.0,0,1
VL-behind,get,VL-behind|get,prep,39,0.0,0,1
VL-behind,get,VL-behind|get,prep,42,0.0,0,1
VL-behind,get,VL-behind|get,prep,45,0.0,0,1
VL-behind,get,VL-behind|get,prep,48,0.0,0,1
VL-behind,get,VL-behind|get,prep,51,1.0,1,1
VL-behind,get,VL-behind|get,prep,54,1.0,0,1
VL-behind,get,VL-behind|get,prep,57,1.0,0,1
VL-behind,get,VL-behind|get,prep,60,1.0,0,1
VL-behind,get,VL-behind|get,prep,63,1.0,0,1
VL-behind,get,VL-behind|get,prep,66,1.0,0,1
VL-behind,get,VL-behind|get,prep,69,1.0,0,1
VL-behind,go,VL-behind|go,prep,18,0.0,0,2
VL-behind,go,VL-behind|go,prep,21,0.0,0,2
VL-behind,go,VL-behind|go,prep,24,0.0,0,2
VL-behind,go,VL-behind|go,prep,27,0.0,0,2
VL-behind,go,VL-behind|go,prep,30,0.0,0,2
VL-behind,go,VL-behind|go,prep,33,0.0,0,2
VL-behind,go,VL-behind|go,prep,36,0.0,0,2
